session,iso3c,Countryname,USAgree,ChinaAgree
1,USA,United States,1.0,
2,USA,United States,1.0,
3,USA,United States,1.0,
4,USA,United States,1.0,
5,USA,United States,1.0,
6,USA,United States,1.0,
7,USA,United States,1.0,
8,USA,United States,1.0,
9,USA,United States,1.0,
10,USA,United States,1.0,
11,USA,United States,1.0,
12,USA,United States,1.0,
13,USA,United States,1.0,
14,USA,United States,1.0,
15,USA,United States,1.0,
16,USA,United States,1.0,
17,USA,United States,1.0,
18,USA,United States,1.0,
20,USA,United States,1.0,
21,USA,United States,1.0,
22,USA,United States,1.0,
23,USA,United States,1.0,
24,USA,United States,1.0,
25,USA,United States,1.0,
26,USA,United States,1.0,0.2553191
27,USA,United States,1.0,0.2337662
28,USA,United States,1.0,0.1971831
29,USA,United States,1.0,0.1272727
30,USA,United States,1.0,0.1458333
31,USA,United States,1.0,0.1044776
32,USA,United States,1.0,0.2419355
33,USA,United States,1.0,0.2857143
34,USA,United States,1.0,0.2142857
35,USA,United States,1.0,0.1976744
36,USA,United States,1.0,0.1724138
37,USA,United States,1.0,0.1347518
38,USA,United States,1.0,0.1617647
39,USA,United States,1.0,0.1156463
40,USA,United States,1.0,0.1496599
41,USA,United States,1.0,0.1632653
42,USA,United States,1.0,0.1268657
43,USA,United States,1.0,0.096
44,USA,United States,1.0,0.1
45,USA,United States,1.0,0.1566265
46,USA,United States,1.0,0.1029412
47,USA,United States,1.0,0.08571429
48,USA,United States,1.0,0.09677419
49,USA,United States,1.0,0.1818182
50,USA,United States,1.0,0.1410256
51,USA,United States,1.0,0.1621622
52,USA,United States,1.0,0.1690141
53,USA,United States,1.0,0.1290323
54,USA,United States,1.0,0.1029412
55,USA,United States,1.0,0.1492537
56,USA,United States,1.0,0.1029412
57,USA,United States,1.0,0.09722222
58,USA,United States,1.0,0.1066667
59,USA,United States,1.0,0.07042254
60,USA,United States,1.0,0.06849315
61,USA,United States,1.0,0.08888889
62,USA,United States,1.0,0.06410256
63,USA,United States,1.0,0.08108108
64,USA,United States,1.0,0.07352941
65,USA,United States,1.0,0.1363636
66,USA,United States,1.0,0.1617647
67,USA,United States,1.0,0.119403
68,USA,United States,1.0,0.125
69,USA,United States,1.0,0.1298701
70,USA,United States,1.0,0.1666667
71,USA,United States,1.0,0.1428571
72,USA,United States,1.0,0.1333333
73,USA,United States,1.0,0.1182796
74,USA,United States,1.0,0.1348315
75,USA,United States,1.0,0.106383
76,USA,United States,1.0,0.1578947
77,USA,United States,1.0,0.183908
78,USA,United States,1.0,0.1647059
1,CAN,Canada,0.8292683,
2,CAN,Canada,0.8947368,
3,CAN,Canada,0.8058252,
4,CAN,Canada,0.7936508,
5,CAN,Canada,0.7169811,
6,CAN,Canada,0.72,
7,CAN,Canada,0.8571429,
8,CAN,Canada,0.56,
9,CAN,Canada,0.6666667,
10,CAN,Canada,0.6296296,
11,CAN,Canada,0.9,
12,CAN,Canada,0.8529412,
13,CAN,Canada,0.8787879,
14,CAN,Canada,0.6481481,
15,CAN,Canada,0.7961165,
16,CAN,Canada,0.8767123,
17,CAN,Canada,0.8695652,
18,CAN,Canada,0.7419355,
20,CAN,Canada,0.775,
21,CAN,Canada,0.86,
22,CAN,Canada,0.8070175,
23,CAN,Canada,0.6862745,
24,CAN,Canada,0.7906977,
25,CAN,Canada,0.761194,
26,CAN,Canada,0.6525424,0.2708333
27,CAN,Canada,0.71,0.3506494
28,CAN,Canada,0.5164835,0.3239437
29,CAN,Canada,0.5479452,0.3272727
30,CAN,Canada,0.5507246,0.4583333
31,CAN,Canada,0.4705882,0.4202899
32,CAN,Canada,0.6966292,0.4193548
33,CAN,Canada,0.7096774,0.4367816
34,CAN,Canada,0.6694215,0.3737374
35,CAN,Canada,0.6470588,0.3764706
