country,year,us_n_valid,us_n_fav,us_n_unfav,us_prop_fav,us_net_fav,china_n_valid,china_n_fav,china_n_unfav,china_prop_fav,china_net_fav
Argentina,2001,1047,623,424,0.595,0.1901,795,509,286,0.6403,0.2805
Argentina,2002,1121,468,653,0.4175,-0.165,846,567,279,0.6702,0.3404
Argentina,2003,1102,359,743,0.3258,-0.3485,662,460,202,0.6949,0.3897
Argentina,2004,1106,373,733,0.3373,-0.3255,779,587,192,0.7535,0.5071
Argentina,2005,1092,380,712,0.348,-0.304,810,548,262,0.6765,0.3531
Argentina,2006,1143,250,893,0.2187,-0.5626,911,697,214,0.7651,0.5302
Argentina,2007,1100,412,688,0.3745,-0.2509,821,546,275,0.665,0.3301
Argentina,2008,1071,903,168,0.8431,0.6863,876,629,247,0.718,0.4361
Argentina,2009,1086,748,338,0.6888,0.3775,876,667,209,0.7614,0.5228
Argentina,2010,1115,713,402,0.6395,0.2789,933,698,235,0.7481,0.4962
Argentina,2011,1128,643,485,0.57,0.1401,996,731,265,0.7339,0.4679
Argentina,2013,1032,603,429,0.5843,0.1686,912,652,260,0.7149,0.4298
Argentina,2015,1013,603,410,0.5953,0.1905,861,602,259,0.6992,0.3984
Argentina,2016,1030,673,357,0.6534,0.3068,881,590,291,0.6697,0.3394
Argentina,2017,1092,607,485,0.5559,0.1117,964,724,240,0.751,0.5021
Argentina,2018,1064,573,491,0.5385,0.0771,902,661,241,0.7328,0.4656
Bolivia,2001,936,746,190,0.797,0.594,738,588,150,0.7967,0.5935
Bolivia,2002,1164,752,412,0.646,0.2921,918,723,195,0.7876,0.5752
Bolivia,2003,1098,589,509,0.5364,0.0729,852,639,213,0.75,0.5
Bolivia,2004,1013,522,491,0.5153,0.0306,770,613,157,0.7961,0.5922
Bolivia,2005,1071,600,471,0.5602,0.1204,831,649,182,0.781,0.562
Bolivia,2006,1117,588,529,0.5264,0.0528,955,737,218,0.7717,0.5435
Bolivia,2007,1131,667,464,0.5897,0.1795,1011,768,243,0.7596,0.5193
Bolivia,2008,1044,909,135,0.8707,0.7414,872,648,224,0.7431,0.4862
Bolivia,2009,1060,748,312,0.7057,0.4113,900,735,165,0.8167,0.6333
Bolivia,2010,1039,708,331,0.6814,0.3628,797,624,173,0.7829,0.5659
Bolivia,2011,1065,753,312,0.707,0.4141,932,743,189,0.7972,0.5944
Bolivia,2013,968,550,418,0.5682,0.1364,820,584,236,0.7122,0.4244
Bolivia,2015,927,524,403,0.5653,0.1305,778,556,222,0.7147,0.4293
Bolivia,2016,993,667,326,0.6717,0.3434,891,637,254,0.7149,0.4299
Bolivia,2017,1072,566,506,0.528,0.056,974,728,246,0.7474,0.4949
