Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Aruba,,,1.165965319,1.269663095,1.25131321,1.26187098,1.27677536,1.109147549,1.121295571,1.10294652,1.095235944,1.119600654,1.014001012,1.248301148,1.232693315,1.23961401,1.207401395,1.174430847,1.198827386,0.800938904,0.756486595,0.709075332,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,-1.251137018,-1.344179749,-1.35064733,-1.447252393,-1.446292281,-1.61325109,-1.672095537,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445960641,-1.364934087,-1.354713082,-1.540227771,-1.530074596,-1.502875924,-1.419310093,-1.493360877,-1.152265787,-1.183684349,-1.154931784,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,-1.155492663,-1.335463285,-1.377568841,-1.323181987,-1.241037726,-1.307493567,-1.308764577,-1.397766113,-1.332474947,-1.367469072,-1.302401423,-1.336971641,-1.458225965,-1.427726507,-1.483990431,-1.445171714,-1.199483871,-1.05461812,-0.935061216,-0.649475813,-0.612375736,-0.609920204,,,
Albania,-0.845340908,-0.853786588,-0.723731816,-0.813263893,-0.790545285,-0.706940055,-0.60521239,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.751372695,-0.586571813,-0.545140803,-0.472373724,-0.48138684,-0.546018898,-0.564274073,-0.57353878,-0.577179968,-0.408189446,-0.332218528,,,
Andorra,1.310743809,1.33278954,1.119150281,1.269663095,1.25131321,1.26187098,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253580928,1.220693946,1.151729107,1.15941143,1.171781301,1.178940058,1.176189423,1.265453935,1.279687047,1.270272374,1.251356125,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,1.111619234,0.826036751,1.039477348,0.990808547,0.885872543,1.00609827,1.071450472,0.906304717,0.890833914,1.070487618,1.155736208,1.273542762,1.198809981,1.03457427,1.131677032,1.095753789,1.117051482,1.072382092,1.083613992,1.150394559,1.155614495,1.073663831,,,
Argentina,-0.417055726,-0.479976803,-0.414409548,-0.377738357,-0.331238538,-0.372122079,-0.434875011,-0.445475101,-0.355230033,-0.364098519,-0.445909202,-0.434306711,-0.549791396,-0.581265271,-0.299235553,-0.309002459,-0.099273928,-0.107116245,-0.163570061,-0.422596842,-0.447221607,-0.360883951,,,
