q1_country_satis,q2a_fav_us,q2c_fav_china,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,0.590212,5.0,3.0,3.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.448247,,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.199648,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.317168,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.62431,2.0,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,0.159934,5.0,4.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.444319,5.0,4.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.444319,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.112474,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,3.309653,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,0.233135,2.0,2.0,2.0,
Dissatisfied,Very unfavorable,Don’t know,Britain,0.658817,5.0,4.0,,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.657694,2.0,3.0,2.0,
Dissatisfied,Very unfavorable,Don’t know,Britain,0.794621,5.0,4.0,,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,0.147053,5.0,2.0,4.0,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,0.501749,5.0,2.0,4.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,3.709665,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,3.802818,5.0,3.0,3.0,
Satisfied,Very favorable,Very favorable,Britain,3.995454,2.0,1.0,1.0,
Don’t know,Somewhat favorable,Somewhat favorable,Britain,0.663215,,2.0,2.0,
Satisfied,Very unfavorable,Somewhat unfavorable,Britain,2.99457,2.0,4.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.560071,5.0,3.0,2.0,
Satisfied,Very favorable,Very unfavorable,Britain,0.661707,2.0,1.0,4.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,0.577929,5.0,3.0,2.0,
Dissatisfied,Very favorable,Very unfavorable,Britain,0.945861,5.0,1.0,4.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,0.949072,5.0,,2.0,
Dissatisfied,Don’t know,Don’t know,Britain,0.554854,5.0,,,
Satisfied,Don’t know,Somewhat unfavorable,Britain,3.020093,2.0,,3.0,
Satisfied,Very unfavorable,Somewhat favorable,Britain,0.097144,2.0,4.0,2.0,
Dissatisfied,Very favorable,Somewhat favorable,Britain,0.567136,5.0,1.0,2.0,
Satisfied,Don’t know,Don’t know,Britain,0.571774,2.0,,,
Dissatisfied,Very favorable,Somewhat unfavorable,Britain,3.140143,5.0,1.0,3.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,0.560071,5.0,2.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,0.949072,5.0,2.0,2.0,
Dissatisfied,Don’t know,Somewhat favorable,Britain,3.112668,5.0,,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,3.079896,5.0,4.0,2.0,
