q1,q9a,q9c,q4,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,United States,0.498578333807222,5.0,3.0,4.0,2.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.3968276534384012,5.0,1.0,2.0,2.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,1.617835817864251,5.0,1.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,United States,0.8140054429505668,5.0,3.0,4.0,2.0
Satisfied,Very favorable,Somewhat unfavorable,Very bad,United States,0.5494536739916325,2.0,1.0,3.0,4.0
Satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,1.353284048905317,2.0,1.0,2.0,2.0
Satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.8140054429505668,2.0,1.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.3256021771802266,5.0,2.0,2.0,3.0
Dissatisfied,Very favorable,Very unfavorable,Somewhat bad,United States,1.0785572119095008,5.0,1.0,4.0,3.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.4578780616596937,5.0,1.0,3.0,3.0
Dissatisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.8445306470612127,5.0,1.0,4.0,2.0
Dissatisfied,Very favorable,Don't know,Somewhat bad,United States,0.5596287420285145,5.0,1.0,,3.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.7936553068768024,5.0,1.0,3.0,3.0
Satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.2849019050326983,2.0,1.0,4.0,2.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.5596287420285145,5.0,1.0,3.0,2.0
Dissatisfied,Very favorable,Somewhat unfavorable,Very bad,United States,1.007331735651326,5.0,1.0,3.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,United States,1.5974856817904868,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,United States,0.9361062593931516,5.0,3.0,4.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.5596287420285145,5.0,2.0,3.0,4.0
Dissatisfied,Very favorable,Somewhat favorable,Very good,United States,0.376477517364637,5.0,1.0,2.0,1.0
Satisfied,Somewhat unfavorable,Very favorable,Somewhat good,United States,1.5466103416060764,2.0,3.0,1.0,2.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.6512043543604533,5.0,1.0,3.0,3.0
Dissatisfied,Somewhat favorable,Very favorable,Somewhat good,United States,2.0757138795239447,5.0,2.0,1.0,2.0
Satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.4375279255859295,2.0,1.0,2.0,3.0
Dissatisfied,Somewhat favorable,Very unfavorable,Very bad,United States,0.5799788781022785,5.0,2.0,4.0,4.0
Dissatisfied,Very favorable,Very unfavorable,Very bad,United States,1.5160851374954305,5.0,1.0,4.0,4.0
Dissatisfied,Very favorable,Very unfavorable,Very bad,United States,0.5799788781022785,5.0,1.0,4.0,4.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.4884032657703399,5.0,1.0,3.0,3.0
Satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.498578333807222,2.0,1.0,2.0,3.0
Dissatisfied,Somewhat favorable,Very unfavorable,Somewhat bad,United States,0.752955034729274,5.0,2.0,4.0,3.0
Dissatisfied,Very favorable,Somewhat favorable,Very bad,United States,0.3968276534384012,5.0,1.0,2.0,4.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,0.4782281977334578,5.0,1.0,2.0,3.0
Satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,2.0757138795239447,2.0,1.0,2.0,2.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.752955034729274,5.0,1.0,2.0,2.0
Dissatisfied,Somewhat favorable,Very unfavorable,Somewhat bad,United States,0.498578333807222,5.0,2.0,4.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.7020796945448636,5.0,2.0,3.0,2.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.4578780616596937,5.0,1.0,2.0,2.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,1.2108330963889675,5.0,1.0,3.0,3.0
Dissatisfied,Very favorable,Very unfavorable,Somewhat bad,United States,1.0480320077988543,5.0,1.0,4.0,3.0
Dissatisfied,Very favorable,Very unfavorable,Very bad,United States,1.1803078922783214,5.0,1.0,4.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.6817295584710995,5.0,2.0,3.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,United States,1.0480320077988543,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Don't know,Somewhat bad,United States,0.3561273812908728,5.0,3.0,,3.0
Satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.5494536739916325,2.0,2.0,4.0,2.0
Dissatisfied,Very favorable,Somewhat unfavorable,Very bad,United States,0.2849019050326983,5.0,1.0,3.0,4.0
Dissatisfied,Somewhat favorable,Very unfavorable,Very bad,United States,1.6890612941224254,5.0,2.0,4.0,4.0
Satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.0887322799463828,2.0,1.0,3.0,2.0
Dissatisfied,Very favorable,Very unfavorable,Very bad,United States,0.8241805109874486,5.0,1.0,4.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.620679150249807,5.0,2.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very good,United States,0.2849019050326983,5.0,2.0,3.0,1.0
Dissatisfied,Very favorable,Very unfavorable,Somewhat bad,United States,0.752955034729274,5.0,1.0,4.0,3.0
Satisfied,Very favorable,Somewhat unfavorable,Very bad,United States,0.6410292863235713,2.0,1.0,3.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,United States,1.5669604776798407,5.0,3.0,3.0,4.0
Dissatisfied,Very unfavorable,Refused,Very bad,United States,2.0757138795239447,5.0,4.0,,4.0
Dissatisfied,Very favorable,Don't know,Somewhat bad,United States,0.986981599577562,5.0,1.0,,3.0
Satisfied,Very favorable,Very favorable,Somewhat bad,United States,0.2849019050326983,2.0,1.0,1.0,3.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.4680531296965758,5.0,1.0,2.0,2.0
