country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Argentina,2.63750062595073,5.0,3.0,3.0,4.0
Satisfied,Very favorable,Very favorable,Very good,Argentina,0.762567740279849,2.0,1.0,1.0,1.0
Dissatisfied,Somewhat unfavorable,Very unfavorable,Very bad,Argentina,0.475402766283328,5.0,3.0,4.0,4.0
Dissatisfied,Very favorable,Somewhat unfavorable,Very bad,Argentina,1.01621198235032,5.0,1.0,3.0,4.0
Dissatisfied,Very unfavorable,Very favorable,Somewhat bad,Argentina,0.592053835201588,5.0,4.0,1.0,3.0
Dissatisfied,Very favorable,Very favorable,Very bad,Argentina,0.521582550135376,5.0,1.0,1.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Somewhat unfavorable,Somewhat bad,Argentina,1.24331305392333,5.0,,3.0,3.0
Don’t know (DO NOT READ),Somewhat favorable,Very favorable,Somewhat bad,Argentina,1.82391496721361,,2.0,1.0,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Somewhat bad,Argentina,0.996117581251071,5.0,4.0,4.0,3.0
Dissatisfied,Refused (DO NOT READ),Refused (DO NOT READ),Very bad,Argentina,0.550743367979891,5.0,,,4.0
Dissatisfied,Don’t know (DO NOT READ),Somewhat favorable,Somewhat bad,Argentina,0.983203212839037,5.0,,2.0,3.0
Dissatisfied,Don’t know (DO NOT READ),Very favorable,Somewhat bad,Argentina,0.882890851669038,5.0,,1.0,3.0
Dissatisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,Argentina,0.328970942703963,5.0,3.0,,4.0
Dissatisfied,Don’t know (DO NOT READ),Very unfavorable,Somewhat bad,Argentina,1.0101169091188,5.0,,4.0,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Argentina,0.591730745560492,5.0,4.0,4.0,4.0
Dissatisfied,Very favorable,Very favorable,Very bad,Argentina,0.944131487965526,5.0,1.0,1.0,4.0
Dissatisfied,Somewhat favorable,Very favorable,Very bad,Argentina,1.29633611710309,5.0,2.0,1.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Argentina,2.19267125547178,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Argentina,1.20714024915313,5.0,2.0,3.0,4.0
Dissatisfied,Refused (DO NOT READ),Don’t know (DO NOT READ),Refused (DO NOT READ),Argentina,1.02018985997143,5.0,,,
Dissatisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Argentina,0.502706316189662,5.0,3.0,4.0,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Argentina,1.67428425724077,5.0,4.0,4.0,4.0
