satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Very satisfied,Very unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.224214443918588,1.0,4.0,3.0,2.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,0.845925287201424,3.0,3.0,4.0,3.0
Not too satisfied,Very unfavorable,Somewhat favorable,Very good,Canada ,1.76394449960952,4.0,4.0,2.0,1.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Very bad,Canada ,0.322279304697918,3.0,4.0,3.0,4.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,0.539081836952323,3.0,2.0,4.0,3.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,0.328618243384679,1.0,2.0,4.0,3.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,0.233781367024496,1.0,3.0,4.0,2.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.403176704339797,6.0,3.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,1.83377550483115,3.0,2.0,2.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Very good,Canada ,1.09620088960603,3.0,2.0,2.0,1.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,1.74370350434509,1.0,3.0,4.0,3.0
Very satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,1.2780213590292,1.0,3.0,3.0,3.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.845925287201424,3.0,3.0,3.0,3.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Canada ,0.796051296463716,4.0,2.0,2.0,3.0
Very satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,0.242732939321176,1.0,2.0,2.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.645291868602258,3.0,3.0,3.0,2.0
Very satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,0.224214443918588,1.0,2.0,2.0,2.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,0.252064231361571,1.0,3.0,4.0,2.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.299450807359564,3.0,2.0,4.0,2.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,0.830973772317715,1.0,3.0,4.0,3.0
Not too satisfied,Very unfavorable,Very unfavorable,Very bad,Canada ,0.710915550247781,4.0,4.0,4.0,4.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.286823425805056,3.0,1.0,3.0,3.0
Not too satisfied,Very unfavorable,Somewhat favorable,Somewhat bad,Canada ,2.6949278479682,4.0,4.0,2.0,3.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Canada ,0.313493648261623,4.0,2.0,2.0,3.0
